"cov_measure","p","graph","distribution","rep","norm_Omega","norm_Sigma","FP","FN"
"corQuadrantmat",120,"omega_sparse","rmvnorm",21,12.8175943138688,6.09782964874133,0.170628714419769,0.409429280397022
"corQuadrantmat",120,"omega_sparse","rmvnorm",22,12.6490989769295,6.16696758154524,0.162026900218955,0.410669975186104
"corQuadrantmat",120,"omega_sparse","rmvnorm",23,12.7264987819104,5.73389284962448,0.159368157647795,0.373449131513648
"corQuadrantmat",120,"omega_sparse","rmvnorm",24,12.7471821774366,5.04270486643008,0.167813575226775,0.423076923076923
"corQuadrantmat",120,"omega_sparse","rmvnorm",25,12.6270416369512,6.37394602288081,0.161870503597122,0.389578163771712
"corQuadrantmat",120,"omega_sparse","rmvnorm",26,12.3603536656614,5.98513934781086,0.16280888332812,0.377171215880893
"corQuadrantmat",120,"omega_sparse","rmvnorm",27,12.5045745573697,6.34597580553775,0.16280888332812,0.392059553349876
"corQuadrantmat",120,"omega_sparse","rmvnorm",28,12.5570228560047,6.67259164632847,0.166249609008445,0.401985111662531
"corQuadrantmat",120,"omega_sparse","rmvnorm",29,12.2958369036682,5.56992206764031,0.174851423209259,0.38833746898263
"corQuadrantmat",120,"omega_sparse","rmvnorm",30,12.7354797591271,5.37357081941907,0.159368157647795,0.377171215880893
"corQuadrantmat",120,"omega_sparse","rmvnorm",31,12.6594916246874,6.01001067035882,0.164998436033782,0.423076923076923
"corQuadrantmat",120,"omega_sparse","rmvnorm",32,12.6432346802699,6.20294903379572,0.161714106975289,0.361042183622829
"corQuadrantmat",120,"omega_sparse","rmvnorm",33,12.3995611796435,6.69053169584692,0.160932123866124,0.390818858560794
"corQuadrantmat",120,"omega_sparse","rmvnorm",34,12.5135317300399,5.921030495182,0.171879887394432,0.384615384615385
"corQuadrantmat",120,"omega_sparse","rmvnorm",35,12.6286117710783,5.62314445394514,0.164842039411949,0.424317617866005
"corQuadrantmat",120,"omega_sparse","rmvnorm",36,12.0772279243825,5.68949013612457,0.163121676571786,0.389578163771712
"corQuadrantmat",120,"omega_sparse","rmvnorm",37,12.5500301461682,5.82330504116144,0.169846731310604,0.401985111662531
"corQuadrantmat",120,"omega_sparse","rmvnorm",38,12.777990844266,6.51666565676777,0.164998436033782,0.395781637717122
"corQuadrantmat",120,"omega_sparse","rmvnorm",39,12.5696185067947,5.98588478201115,0.162965279949953,0.380893300248139
"corQuadrantmat",120,"omega_sparse","rmvnorm",40,12.6096453946117,6.53950673817603,0.167969971848608,0.38833746898263
"corQuadrantmat",120,"omega_sparse","rmvnorm",41,12.0991061497312,5.83085146653979,0.164529246168283,0.395781637717122
"corQuadrantmat",120,"omega_sparse","rmvnorm",42,12.5466154114585,6.79374522866646,0.159055364404129,0.409429280397022
"corQuadrantmat",120,"omega_sparse","rmvnorm",43,12.4269668102025,5.49261033066287,0.155458242101971,0.380893300248139
"corQuadrantmat",120,"omega_sparse","rmvnorm",44,12.6475291223063,5.42071049036038,0.168908351579606,0.401985111662531
"corQuadrantmat",120,"omega_sparse","rmvnorm",45,12.4993200761406,5.74393001072819,0.169533938066938,0.450372208436725
"corQuadrantmat",120,"omega_sparse","rmvnorm",46,12.5456349363831,6.41511627285096,0.169846731310604,0.377171215880893
"corQuadrantmat",120,"omega_sparse","rmvnorm",47,12.3959482173672,6.24362924807245,0.169221144823272,0.397022332506204
"corQuadrantmat",120,"omega_sparse","rmvnorm",48,12.3575137767646,5.93302988996751,0.161088520487957,0.395781637717122
"corQuadrantmat",120,"omega_sparse","rmvnorm",49,12.4047616471744,6.13575394989458,0.164216452924617,0.373449131513648
"corQuadrantmat",120,"omega_sparse","rmvnorm",50,12.4059994451795,5.94946923488299,0.16015014075696,0.384615384615385
"corQuadrantmat",120,"omega_sparse","rmvnorm",51,12.4737122894608,5.91937295392687,0.170472317797936,0.419354838709677
"corQuadrantmat",120,"omega_sparse","rmvnorm",52,12.4957495744752,5.39817230690507,0.165780419142947,0.39454094292804
"corQuadrantmat",120,"omega_sparse","rmvnorm",53,12.6078728970957,6.51092983129786,0.170472317797936,0.393300248138958
"corQuadrantmat",120,"omega_sparse","rmvnorm",54,12.4421787383166,5.72335972249503,0.168439161714107,0.380893300248139
"corQuadrantmat",120,"omega_sparse","rmvnorm",55,12.3048671927348,6.01713633993077,0.170472317797936,0.40818858560794
"corQuadrantmat",120,"omega_sparse","rmvnorm",56,12.6664840401217,5.86039790522103,0.16859555833594,0.426799007444169
"corQuadrantmat",120,"omega_sparse","rmvnorm",57,12.3076607012122,6.03682733675831,0.166093212386612,0.390818858560794
"corQuadrantmat",120,"omega_sparse","rmvnorm",58,12.6762993375449,5.42905196874288,0.166875195495777,0.385856079404466
"corQuadrantmat",120,"omega_sparse","rmvnorm",59,12.5818088874857,6.38261294743359,0.165467625899281,0.39454094292804
"corQuadrantmat",120,"omega_sparse","rmvnorm",60,12.3294950116632,6.42565575288194,0.159368157647795,0.389578163771712
"corQuadrantmat",120,"omega_sparse","rmvnorm",61,12.7165318542491,6.3880968514493,0.159993744135127,0.393300248138958
"corQuadrantmat",120,"omega_sparse","rmvnorm",62,12.3746519639512,6.07313384254924,0.160775727244292,0.423076923076923
"corQuadrantmat",120,"omega_sparse","rmvnorm",63,12.6367494609416,5.97797110807923,0.165936815764779,0.389578163771712
"corQuadrantmat",120,"omega_sparse","rmvnorm",64,12.6374606492045,6.92107988473068,0.167969971848608,0.389578163771712
