"cov_measure","p","graph","distribution","rep","norm_Omega","norm_Sigma","FP","FN"
"cov",120,"omega_sparse","rmvnorm",24,9.89787434944253,3.57599481030634,0.237895064611552,0.0926640926640927
"cov",120,"omega_sparse","rmvnorm",25,9.97061366107805,3.69290670372081,0.232601588042971,0.0733590733590734
"cov",120,"omega_sparse","rmvnorm",26,10.2208195953411,3.84925365902707,0.228397944885567,0.093951093951094
"cov",120,"omega_sparse","rmvnorm",27,9.31958154476357,4.17687099294155,0.225751206601277,0.0888030888030888
"cov",120,"omega_sparse","rmvnorm",28,9.58279090797925,4.14101369039613,0.227775182936323,0.0733590733590734
"cov",120,"omega_sparse","rmvnorm",29,9.5009951170852,4.09024027469484,0.231044683169858,0.0836550836550837
"cov",120,"omega_sparse","rmvnorm",30,9.78607465547483,3.18345326031801,0.236493850225751,0.102960102960103
"cov",120,"omega_sparse","rmvnorm",31,10.0947713221986,3.62465192066129,0.231978826093726,0.0694980694980695
"cov",120,"omega_sparse","rmvnorm",32,9.635300926515,3.80894149671454,0.224194301728164,0.0900900900900901
"cov",120,"omega_sparse","rmvnorm",33,10.5782718770313,3.66767098810821,0.234469873890705,0.0952380952380952
"cov",120,"omega_sparse","rmvnorm",34,9.74980002642462,3.46604449205136,0.234781254865328,0.0875160875160875
"cov",120,"omega_sparse","rmvnorm",35,9.85880447454672,3.39830838718327,0.229332087809435,0.0759330759330759
"cov",120,"omega_sparse","rmvnorm",36,9.48089639268752,3.63444859162519,0.222637396855052,0.0823680823680824
"cov",120,"omega_sparse","rmvnorm",37,10.2702785124204,4.08152080446173,0.222948777829675,0.106821106821107
"cov",120,"omega_sparse","rmvnorm",38,10.424630468108,3.19518452409295,0.227619492449011,0.0656370656370656
"cov",120,"omega_sparse","rmvnorm",39,9.82273013876459,3.68822429112918,0.229643468784057,0.0682110682110682
"cov",120,"omega_sparse","rmvnorm",40,9.27122994625204,3.98428663640292,0.22621827806321,0.1003861003861
"cov",120,"omega_sparse","rmvnorm",41,10.0600614347317,3.89044377707656,0.222948777829675,0.0733590733590734
"cov",120,"omega_sparse","rmvnorm",42,10.1665676505201,3.49564863656852,0.237116612174996,0.0643500643500644
"cov",120,"omega_sparse","rmvnorm",43,10.4060981818881,4.02898398104636,0.23384711194146,0.0810810810810811
"cov",120,"omega_sparse","rmvnorm",44,10.5248031057343,3.23934967321697,0.225284135139343,0.0900900900900901
"cov",120,"omega_sparse","rmvnorm",45,10.3005856465263,4.23480855416468,0.23120037365717,0.0913770913770914
"cov",120,"omega_sparse","rmvnorm",46,9.67137105740741,3.67853746141641,0.233535730966838,0.0862290862290862
"cov",120,"omega_sparse","rmvnorm",47,9.74919012515536,4.00869272464592,0.233068659504904,0.0746460746460746
"cov",120,"omega_sparse","rmvnorm",48,9.85081879688352,3.67129521779526,0.224349992215476,0.0849420849420849
"cov",120,"omega_sparse","rmvnorm",49,10.0179101349082,4.78216706317701,0.227930873423634,0.0862290862290862
